Product,Appelation,Vintage,Cost price,Wholesale list price per bottle,Wholesale list price per case,Wholesale Margine Per bottle,Retail price,Retail Margine per Bottle ex VAT,In bond QTT,Cellar QTT,notes,,,,,
MONT006,Cotes de Thongue,2012,£4.79,£6.75,£81.00,40.92%,£8.95,55.71%,15,,dropping this product,,,,,
MONT008,Cotes de Thongue,2012,£4.81,£6.75,£81.00,40.33%,£8.95,55.06%,36,,dropping this product,,,,,
MONT009,Cotes de Thongue,2009,£4.84,£6.75,£81.00,39.46%,£8.95,54.10%,0,,dropping this product,,,,,
STON001,Muscat de Frontignan,2008,£5.54,£6.75,£162.00,21.84%,£9.85,48.16%,0,,dropping this product - in search of another,,,,,
ROBE001,Cornas,2001,£14.93,£30.00,£360.00,100.94%,£36.50,103.73%,0,,Auriane to find better - Producer no longer exist,,,,,
PAUL001,NA,NV,£7.21,£10.00,£120.00,38.70%,£13.50,56.03%,0,,Dropping this product,,,,,
DANI001,Muscadet Sevre et Maine,2012,£4.82,£7.25,£43.50,50.41%,Wholesale only,,0,,Droppng this line - New supplier needed,,,,,
VILL001,Sancerre,2012,£8.06,£11.75,£141.00,45.78%,£16.30,68.53%,18,,dropping this line - Bin-End,,,,,
VILL002,Sancerre,2011,£8.06,£11.75,£141.00,45.78%,£16.30,68.53%,,1,,,,,,
ELLE001,Chablis,2012,£6.76,£9.00,£123.00,33.14%,£13.85,70.73%,0,,dropping this product - Price changed,,,,,
ELLE010,Chablis,2011,£6.76,£9.00,,33.14%,£13.85,,,,,,,,,
REMO001,Cote de Nuit,2009,£14.95,£23.75,£285.00,58.86%,£34.50,92.31%,0,,needs attention,,,,,
GUYO001,Cote de Nuit,2011,£10.19,£14.00,,37.39%,£19.65,60.70%,,,,,,,,
GUYO010,Cote de Nuit,2004,£29.80,£55.00,£660.00,84.56%,£75.50,111.13%,0,,needs attention - Price changed,,,,,
GUYO011,Cote de Nuit,2004,£40.00,£80.00,£960.00,100.00%,£160.05,233.44%,3,,needs attention - Price changed,,,,,
BOUI001,Cote de Nuit,2004,£27.50,£36.75,£441.00,33.64%,£53.10,60.91%,0,,dropping this line,,,,,
BARO001,Piedmont,1999,£13.30,£34.25,£205.50,157.52%,£48.90,206.39%,0,12,,,,,,
VALL002,Maule Valley,2009,£6.19,£7.00,£84.00,13.09%,£9.80,31.93%,0,,Out of Stock Only cellar left,,,,,
FRIA001,Vin de Pays d'Oc,2012,£4.35,£6.25,£75.00,43.68%,£8.50,62.84%,0,264,reorded 150 cases - 08/04/2015 / new cost price,,,,,
FRIA002,Vin de Pays d'Oc,2011,£4.38,£6.25,£75.00,42.69%,£8.50,61.72%,70,,,,,,,
MONT005,Cotes de Thongue,2014,£4.20,£6.75,£81.00,60.71%,Wholesale only,,75,,new cost price,,,,,
MONT007,Cotes de Thongue,2013,£4.21,£6.75,£81.00,60.33%,Wholesale only,,75,,new cost price,,,,,
PICP001,NA,2014,£4.40,£6.75,£40.50,53.41%,£9.75,84.66%,100,,New cost price,,,,,
BASS001,NA,2013,£11.00,£12.50,£150.00,13.64%,£15.00,13.64%,10,,price has changed - Cost price will be £4.45 for next order ,,,,,
RICH001,Condrieu,2010,£15.18,£22.50,£270.00,48.22%,£29.85,63.87%,10,,Auriane to find better,,,,,
TROI001,NA,2012,£5.41,£7.50,£45.00,38.63%,£10.50,61.74%,54,,,,,,,
OLIV001,Chateauneuf du Pape,2010,£12.89,£18.00,£216.00,39.64%,£28.40,83.60%,10,,need to consider reordering!,,,,,
MONT010,Vacqueyras,2012,£8.57,£12.00,£144.00,40.02%,£16.30,58.50%,31,,,,,,,
MONT024,Gigondas,2009,£10.39,£14.50,,39.56%,£20.40,63.62%,,,,,,,,
MONT011,Gigondas,2012,£9.72,£14.50,£174.00,49.18%,£20.40,74.90%,47,,,,,,,
QUAT001,NA,2013,£4.40,£7.50,£90.00,70.45%,£9.90,87.50%,150,,new cost price,,,,,
QUAT002,NA,2013,£8.80,£18.00,£108.00,104.55%,£24.50,132.01%,8,,new cost price,,,,,
QUAT003,NA,2014,£4.40,£7.50,,70.45%,£9.90,87.50%,,,,,,,,
QUAT004,NA,2014,£8.80,£18.00,,104.55%,£24.50,132.01%,,,,,,,,
FRIA003,NA,NV,£13.57,£20.00,£240.00,47.38%,£27.70,70.11%,55,,need to consider new supplier,,,,,
FRIA004,NA,NV,£12.57,£13.50,£324.00,7.40%,£16.25,7.73%,8,,Price changed  - New cost price for next order £6.79,,,,,
FRIA005,NA,NV,£27.28,£47.00,£282.00,72.29%,£64.80,97.95%,0,,,,,,,
CHAS001,NA,NV,£11.30,£16.75,£100.50,48.23%,£19.90,46.76%,82,,need to consider new supplier - Bibendum,,,,,
