Albarino Contrapunto,"Agro de Bazan, Albarino Contrapunto",12x75,2013,£14.94,£9.75,£117.00,39,,AGRO001,Price issue brought expensive - New cost price after next reorder £6 a bottle,-34.74%,,,,,
DOMAINE ALAIN GUENEAU Sancerre Blanc,"Alain Gueneau, Sancerre",12x75,2014,£7.47,£12.50,£150.00,50,,GUEN001,first ordered on 23/03/2015,67.34%,,,,,
DOMAINE ALAIN GUENEAU Sancerre Rosé,"Alain Gueneau, Sancerre Rose",12x75,2014,£7.47,£12.50,£150.00,45,,GUEN002,first ordered on 23/03/2016,67.34%,,,,,
DOMAINE ALAIN GUENEAU Sancerre Rouge,"Alain Gueneau, Sancerre Rouge",12x75,2013,£8.40,£12.50,£150.00,5,,GUEN003,first ordered on 23/03/2017,48.81%,,,,,
Château L’Angelus,Angelus,12x75,2003,£181.67,£270.00,"£2,220.00",0,9,ANGE001,,48.62%,,,,,
DOMAINE ANTONIN GUYON Chambolle Musigny Clos du Village,"Antonin Guyon, Chambolle Musigney Clos Village",12x75,2009,£20.22,£32.50,£390.00,0,,GUYO004,needs attention,60.73%,,,,,
DOMAINE ANTONIN GUYON Chorey-les-Beaune ,"Antonin Guyon, Chorey les Beaune Champs Longs",12x75,2009,£11.20,£17.75,£213.00,3,,GUYO006,,58.48%,,,,,
   DOMAINE ANTONIN GUYON Chorey-les-Beaune    Half Bottles (24 x 37.5cl),"Antonin Guyon, Chorey les Beaune Champs Longs",24x37.5,2009,£6.22,£10.50,£252.00,3,,GUYO007,,68.81%,,,,,
DOMAINE ANTONIN GUYON Côte de Beaune Villages,"Antonin Guyon, Cote de Beaune Village",12x75,2009,£11.20,£17.25,£207.00,41,,GUYO005,,54.02%,,,,,
DOMAINE ANTONIN GUYON Gevrey Chambertin La Justice,"Antonin Guyon, Gevrey Chambertin Justice",12x75,2009,£19.21,£27.50,£378.00,49,,GUYO002,Price changed,43.15%,,,,,
    DOMAINE ANTONIN GUYON Gevrey Chambertin La Justice Half Bottles (24 x 37.5cl),"Antonin Guyon, Gevrey Chambertin Justice",24x37.5,2009,£14.26,£17.25,£414.00,1,,GUYO003,needs attention,20.97%,,,,,
DOMAINE ANTONIN GUYON Savigny-les-Beaune,"Antonin Guyon, Savigny les Beaune",12x75,2009,£11.97,£20.50,£246.00,12,,GUYO008,,71.26%,,,,,
      DOMAINE ANTONIN GUYON Savigny-les-Beaune Half Bottles (24 x 37.5cl) ,"Antonin Guyon, Savigny les Beaune",24x37.5,2008,£7.54,£12.50,£300.00,12,,GUYO009,,65.78%,,,,,
DOMAINE BASSAC VIN DE PAYS D’OC - ORGANIC Domaine Bassac Organic Rosé ,"Bassac, Lo Bartas Rose",12x75,2013,£11.00,£12.50,£150.00,10,,BASS001,price has changed - Cost price will be £4.45 for next order ,13.64%,,,,,
   Château Bellegrave   Half Bottles (12 x 37.5cl),Bellegrave,12x37.5,2006,£7.50,£16.50,£396.00,16,,BELLE003,,,,,,,
Château Bellegrave,Bellegrave,12x75,2005,£13.63,£30.00,£360.00,13,,BELLE002,,,,,,,
Château Bellegrave,Bellegrave,12x75,2000,£16.46,£30.00,£360.00,14,,BELLE001,,,,,,,
Grand burge Benchmark Shiraz  (6 x 75cl),"Benchmark, Shiraz Grant Burge",6x75,2012,£5.52,£7.50,£45.00,0,,GRAN001,Need to buy maybe 10 cases,35.87%,,,,,
Château Berliquet,Berliquet,12x75,2006,£14.33,£28.00,£336.00,40,10,BERL004,,95.39%,,,,,
Château Berliquet,Berliquet,12x75,2005,£16.46,£28.00,£336.00,20,18,BERL003,,70.11%,,,,,
Château Berliquet,Berliquet,12x75,2004,£15.25,£24.00,£288.00,0,30,BERL001,,57.38%,,,,,
   Château Berliquet   Half Bottles (12 x 37.5cl),Berliquet,12x37.5,2004,£7.63,£13.00,£156.00,,5,BERL002,Pricing missing - Check if in cellar,70.38%,,,,,
Château Beychevelle,Beychevelle,12x75,2009,£41.96,£65.00,£780.00,3,,BEYC001,,54.91%,,,,,
Château Bon Pasteur,Bon Pasteur,12x75,2009,£34.88,£70.00,£840.00,5,,BONP002,,,,,,,
Château Bon Pasteur,Bon Pasteur,12x75,2000,£35.08,£90.00,"£1,080.00",0,10,BONP001,,,,,,,
Château Boyd-Cantenac,Boyd Cantenac,12x75,2005,£28.00,£50.00,£600.00,0,31,BOYD003,,78.57%,,,,,
