"Alain Gueneau, Sancerre",12,75,2014,£7.47,£12.5,50,,GUEN001,first ordered on 23/03/2015
"Alain Gueneau, Sancerre Rose",12,75,2014,£7.47,£12.5,45,,GUEN002,first ordered on 23/03/2016
"Alain Gueneau, Sancerre Rouge",12,75,2013,£8.4,£12.5,5,,GUEN003,first ordered on 23/03/2017
"Antonin Guyon, Chambolle Musigney Clos Village",12,75,2009,£20.22,£32.5,0,,GUYO004,needs attention
"Antonin Guyon, Chorey les Beaune Champs Longs",12,75,2009,£11.2,£17.75,3,,GUYO006,
"Antonin Guyon, Chorey les Beaune Champs Longs",24,37.5,2009,£6.22,£10.5,3,,GUYO007,
"Benchmark, Shiraz Grant Burge",6,75,2012,£5.52,£7.5,0,,GRAN001,Need to buy maybe 10 cases
"Berliquet,",12,75,2006,£14.33,£28,40,10,BERL004,
"Berliquet,",12,75,2005,£16.46,£28,20,18,BERL003,
"Cailleteau Bergeron, Rouge",12,75,2012,£6.98,£9.75,35,,CAIL001,
"Castra Rubra, Butterfly's Rock",12,75,2010,£8.12,£11,0,,CAST006,
"Castra Rubra, Nimbus Pinot Noir",12,75,2012,£8.12,£14,0,,CAST007,New Stock
"Cave Lugny, Macon Lugny Charmes",12,75,2013,£6.52,£8.75,40,,FRIA007,recently reordered / new cost price
"Clos Eglise,",6,75,2008,£34.46,£80,5,,CLOS004,
"Comparron, Cosecha Malvasia Red",12,75,2014,£4.04,£5.5,60,,COMP002,New Stock
"Comparron, Cosecha Malvasia White",12,75,2014,£4.04,£5.5,60,,COMP001,New Stock
"Comparron, Seleccion",12,75,2011,£4.4,£6.8,20,,COMP003,New Stock
"Conseillante,",12,75,2000,£140,£230,0,17,CONS003,
"Conseillante,",12,75,1995,£85.83,£130,0,11,CONS002,
"Ellevin, Petit Chablis",12,75,2012,£6.76,£9,0,,ELLE001,dropping this product - Price changed
"Fernand & Laurent Pillot, Chassagne Montrachet Champgains",12,75,2009,£18.79,£28.5,0,,PILL001,
"Figeac,",12,75,2006,£50.46,£110,5,,FIGE001,
"Fleur de Pin, Doux",12,37.5,2009,£5.5,£7.5,,30,FLEU002,
"Fonplegade,",6,150,2010,£40,£70,10,,FONP002,
"Fonplegade,",12,37.5,2010,£5.57,£17.5,25,,FONP003,
"Friarwood, Champagne Brut",12,37.5,NV,£12.57,£13.5,8,,FRIA004,Price changed  - New cost price for next order £6.79
"Friarwood, Champagne Brut",6,150,NV,£27.28,£47,0,,FRIA005,
"Grand Montmirail, Gigondas Beauchamp",12,75,2012,£9.72,£14.5,47,,MONT011,
"Guillopees, Sancerre Cuvee Henri Vernoy",12,75,2012 / 13,£8.75,£11,44,,GUIL001,wholesale only
"Guillopees, Sancerre Cuvee Henri Vernoy Rose",12,75,2013,£6.51,£11.5,20,,GUIL004,wholesale only
"Guillopees, Sancerre Cuvee Henri Vernoy Rose",24,37.5,2013,£4.53,£6.75,6,,GUIL003,wholesale only
"Jean Chartron, Puligny Montrachet Clos Cailleret Rouge",12,75,2006,£20.9,£48.5,0,,CHAR001,reorder if other lines available
"Lagrange Saint Julien,",12,37.5,2009,£14.2,£29,2,,LAGR003,
"Lagrange Saint Julien,",12,75,2005,£32.25,£65,0,12,LAGR002,
"Lagrange Saint Julien,",12,75,2000,£46.42,£85,0,8,LAGR001,
"Lucas, Grand Lucas Prestige",24,37.5,2008,£4.16,£7.25,5,,LUCA002,
"Lucas, Grand Lucas Prestige",12,75,2005,£7.03,£11.75,86,,LUCA001,
"Lucas, Grand Lucas Prestige",6,150,2000,£16.99,£28.5,8,,LUCA003,
"Marchesi Barolo, Picit Langue",12,75,1999,£13.3,£34.25,0,12,BARO001,
"Mont Auriol, Cavernet Sauvignon",12,75,2009,£4.84,£6.75,0,,MONT009,dropping this product
"Monteviejo, Festivo Malbec",12,75,2012,£5.12,£7.75,25,,MONT002,
"Monteviejo, Festivo Torrontes",12,75,2010,£5.25,£7.75,,,MONT012,
"Monteviejo, Monteviejo Malbec",6,75,2007,£14.48,£19,19,,MONT003,
"Nenin,",12,75,2009,£23.54,£54,5,,NENI002,
"Orangerie,",12,75,2006,£5.59,£9.1,,44,ORAN001,2006 vintage first
"Orangerie,",12,75,2008,£5.59,£9.1,20,82,ORAN002,2006 vintage first
"Ormes Pez,",12,75,2000,£21.98,£42,,8,ODPE002,
"Petit Village,",12,75,2000,£32.25,£50,0,20,PETI003,
"Petit Village,",12,75,1998,£37.92,£50,0,42,PETI002,Price Incresed £5.00
"Potensac,",12,75,2008,£12.21,£25,4,,POTE003,
"Serio and Borgogno, Barolo",12,75,2007,£14.56,£18.5,17,,SERI007,S
"Talbot,",12,75,2005,£34.38,£65,0,49,TALB003,
"Tonon, Prosecco Spumante Villa Teresa",12,75,NV,£5.73,£8.25,30,,TONO004,
"Tour Du Pin Figeac,",12,75,2005,£12.92,£25,7,24,TPFI001,
"Trottevieille,",12,75,2000,£28,£48,0,11,TROT001,
"Valle Andino Reserva, Merlot",12,75,2009,£6.19,£7,0,,VALL002,Out of Stock Only cellar left
"Valle Andino Reserva, Sauvignon Blanc",12,75,2009,£6.34,£7,0,,VALL007,Out of Stock Only cellar left
