Product Code,Description,Inactive,Sales Price,Quantity In Stock,Free Stock
AGRO001,"Agro de Bazan, Albarino Contrapunto 2013",,9.75,2.00,2.00
ALTO002,"Altovela, Sauvignon Blanc Cumplido 2010",,5.25,111.00,111.00
ALTO001,"Altovela, Tempranillo Cumplido 2011",,5.50,11.00,11.00
GUYO004,"Antonin Guyon, Chambolle Musigney Clos Village 2009",,32.50,48.00,48.00
GUYO007,"Antonin Guyon, Chorey les Beaune Champs Long 2009 Half Bottl",,10.50,1.00,1.00
GUYO006,"Antonin Guyon, Chorey les Beaune Champs Longs 2009",,17.75,36.00,36.00
GUYO005,"Antonin Guyon, Cote de Beaune Village 2008",,17.25,81.00,81.00
GUYO002,"Antonin Guyon, Gevrey Chambertin Justice 2009",,31.50,12.00,12.00
GUYO003,"Antonin Guyon, Gevrey Chambertin Justice 2009 Half Bottles",,17.25,20.00,20.00
GUYO008,"Antonin Guyon, Savigny les Beaune Goudelettes 2009",,20.50,10.00,10.00
GUYO009,"Antonin Guyon, Savigny les Beaune Goudelettes 2009 Half Bott",,12.50,58.00,58.00
BASS001,"Bassac, Lo Bartas Rose 2013",,7.50,174.00,174.00
BELLE001,Bellegrave 2000,,30.00,12.00,12.00
BELLE002,Bellegrave 2005,,30.00,5.00,5.00
BERL001,Berliquet 2004,,24.00,10.00,10.00
BOLL001,"Bollinger, Brut NV",,38.50,10.00,10.00
BROU001,Broustet  2001,,19.75,4.00,4.00
CAIL001,"Cailleteau Bergeron, Rouge 2012",,9.75,54.00,54.00
CANT001,Cantenac Brown 2000,,50.00,10.00,10.00
CAST006,"Castra Rubra, Butterflys Rock 2010",,11.00,61.00,61.00
CAST005,"Castra Rubra, Castra Rubra 2008",,10.50,13.00,13.00
CAST001,"Castra Rubra, Dominant Red 2010",,7.00,70.00,70.00
CAST002,"Castra Rubra, Dominant White 2013",,7.00,9.00,9.00
CAST003,"Castra Rubra, Motley Cock Red 2009",,7.00,19.00,19.00
CAST004,"Castra Rubra, Motley Cock White 2013",,7.00,58.00,58.00
DELO001,"Charles Deloire, Pouilly Fume 2012",,10.75,94.00,94.00
DELO002,"Charles Deloire, Pouilly Fume 2012 Half Bottles",,6.50,12.00,12.00
CHAS001,"Chassenay D'arc, Martivey Brut NV",,19.90,74.00,74.00
CHAS002,"Chassenay D'arc, Martivey Rose NV",,20.25,115.00,115.00
CITA001,"Citari, Lugana 2012",,10.00,67.00,67.00
CITA002,"Citari, San Martino Della Battaglia Vv 2010",,8.75,23.00,23.00
CLIFF001,"Clifford Bay, Pinot Noir 2004",,14.00,6.00,6.00
CLIN001,Clinet 2000,,240.00,1.00,1.00
CLOSF001,Clos Fourtet 2000,,75.00,10.00,10.00
CLOS001,Clos Rene 2000,,28.00,48.00,48.00
CLOS002,Clos Rene 2000 Half Bottles,,16.50,49.00,49.00
CLOS003,Clos Rene 2005,,28.00,6.00,6.00
BOUI001,"Coche-Bouillot, Meursault Charmes 2004",,36.75,16.00,16.00
CONS001,Conseillante 1998,,130.00,11.00,11.00
CORT003,"Corte Aleardi, Amarone Valpolicella Classico 2006 Mag",,70.00,7.00,7.00
CORT002,"Corte Aleardi, Amarone Valpolicella Classico 2007",,29.25,74.00,74.00
CORT001,"Corte Aleardi, Ripasso Valpolicella Bure Alto 2008",,14.25,37.00,37.00
COSE001,Cos d'Estournell 2000,,145.00,2.00,2.00
CRIST001,"Cristo de la Vega, Tempranillo Marques de Castilla 2013",,5.25,150.00,150.00
CROI001,Croix Gay 2000,,40.00,0.00,0.00
DAUZ001,Dauzac 1995,,32.00,6.00,6.00
DAUZ002,Dauzac 1996,,32.00,28.00,28.00
WILL001,"De Bortoli, Shiraz Willowglen 2012",,6.00,9.00,9.00
DELIVERY,Delivery,,0.00,0.00,0.00
DELI001,Delivery Charge,,15.00,0.00,0.00
ARMA001,"Delord, Armagnac VSOP",,32.00,4.00,4.00
GUYO001,"Domaine Dominique Guyon, Hautes Cotes de Nuits Dames 2011",,14.00,25.00,25.00
DOMI001,Dominique 2000,,48.00,11.00,11.00
DUCR001,Ducru Beaucallou 1998,,100.00,1.00,1.00
