0 Wine Name,1 Vintage,2,3 Size,"4 Bottle price landed, DP excellar",5 Wholesale Price, 6 Margin,7 Notes
"Friarwood Delord, Armagnac",1942,,0.5,0.00,0.00,,
"Friarwood Delord, Armagnac",1946,,0.5,0.00,0.00,,
"Friarwood Delord, Armagnac",1953,,0.5,0.00,0.00,,
"Friarwood Delord, Armagnac",1956,,0.5,0.00,0.00,,
"Friarwood Delord, Armagnac",1960,,0.5,0.00,0.00,,
"Hidalgo 200, Solera",NV,,0.5,0.00,0.00,,shop only
"Bouchard Pere et Fils, Bourgogne Vignee",2012,,0.75,0.00,0.00,,Shop only
"Graham, Crusted",2003,,0.75,0.00,0.00,,Shop only
"Hartford Court, Russian river valley, Pinot Noir ",2012,,0.75,0.00,0.00,,shop only
"Louis Roederer, Cristal",2002,,0.75,0.00,0.00,,shop only
Pommery brut,NV,,0.75,0.00,0.00,,shop only
"Marchesato Degli Aleramici, Brunello di Montalcino Carlo Magno",2005,,0.75,0.00,28.00,,shop only
Margaux,2005,,0.75,725.00,950.00,31%,
Lafite Rothschild,1995,,0.75,650.00,0.00,-100%,To put on the wholesale list.
Lafite Rothschild,2004,,0.75,385.83,950.00,146%,
Ausone,2007,,0.75,320.00,0.00,-100%,
Latour,1998,,0.75,315.00,475.00,51%,
Mouton Rothschild,1995,,0.75,277.50,475.00,71%,
Mouton Rothschild,1996,,0.75,277.50,475.00,71%,
Mouton Rothschild,2001,,0.75,252.50,400.00,58%,
Margaux,2004,,0.75,244.17,500.00,105%,
Montrose,2003,MONT021,1.5,244.17,360.00,47%,
Latour,2001,,0.75,239.79,650.00,171%,
Mouton Rothschild,2002,,0.75,234.00,450.00,92%,
Lynch Bages,2004,,1.5,228.00,230.00,1%,market price is GBP 160. bought too expensive. Shop only? 6 bottles in stock
Haut Brion,2001,,0.75,219.17,400.00,83%,
Pavie,2005,,0.75,202.50,300.00,48%,
Figeac,2000,FIGE001,0.75,200.00,135.00,-33%,"only bought 1 bottle, in the shop"
Angelus,2003,,0.75,181.67,185.00,2%,Only Bought 9 bottles in the cellar. To check market price
Leoville Las Cases,2000,,0.75,177.50,300.00,69%,
Palmer,2000,,0.75,150.00,300.00,100%,
Lynch Bages,2003,,1.5,144.54,230.00,59%,
Pichon Lalande,2009,,0.75,142.83,172.00,20%,
Leoville Las Cases,1996,,0.75,140.40,250.00,78%,
Conseillante,2000,,0.75,140.00,230.00,64%,
Evangile,2005,,0.75,137.50,210.00,53%,
Pichon Lalande,1986,,0.75,133.20,250.00,88%,
Pichon Lalande,1989,PICH001,0.75,127.50,189.00,48%,
Pavie,2006,,0.75,126.25,240.00,90%,
Montrose,2003,MONT020,0.75,122.09,175.00,43%,
Pichon Lalande,2000,,0.75,121.50,320.00,163%,
Leoville Las Cases,1995,,0.75,119.17,195.00,64%,
Evangile,1998,,0.75,118.80,180.00,52%,
